# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.641887e+01 -8.924564e-04 4.854788e-19) (8.274671e-01 -4.058953e-05 -3.344448e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.202581e-18 3.199956e-19 -2.674830e-12) (2.821859e-19 -8.329363e-20 1.603830e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((3.377494e-01 6.962891e-04 -1.021599e-20) (5.958698e-01 1.957810e-06 -1.041666e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.674023e-20 6.852310e-21 1.447856e-12) (4.486120e-21 -1.448334e-20 8.789636e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.510397e-01 1.131930e-04 1.111296e-20) (4.673919e-01 4.516400e-06 -1.115162e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.218295e-20 1.039919e-20 2.867957e-13) (7.459322e-21 -1.306627e-20 5.373397e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.747863e-01 4.924552e-05 7.325489e-21) (3.860595e-01 3.825392e-06 -8.901432e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.136966e-20 8.636927e-21 8.305610e-14) (6.409401e-21 -1.080882e-20 3.569667e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.295255e-01 1.961428e-05 4.812592e-21) (3.310648e-01 2.938845e-06 -7.607024e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.508947e-20 7.577609e-21 3.000850e-14) (5.783529e-21 -9.286597e-21 2.469060e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.944668e-01 8.688406e-06 3.041096e-21) (2.924309e-01 2.212575e-06 -6.695599e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.025558e-20 6.778410e-21 9.431362e-15) (5.256033e-21 -8.197063e-21 1.776919e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.672677e-01 4.725389e-06 1.811455e-21) (2.642403e-01 1.683227e-06 -6.040123e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.651487e-20 6.171998e-21 7.420888e-16) (4.821519e-21 -7.392702e-21 1.329978e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.459174e-01 3.332753e-06 9.344235e-22) (2.429180e-01 1.316567e-06 -5.556955e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.358217e-20 5.703129e-21 -4.091262e-15) (4.465041e-21 -6.779120e-21 1.047162e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.288981e-01 2.438101e-06 2.892288e-22) (2.262503e-01 1.056352e-06 -5.191670e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.124603e-20 5.333048e-21 -8.100722e-15) (4.171435e-21 -6.296663e-21 8.833453e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.150965e-01 2.199669e-06 -1.997268e-22) (2.128343e-01 8.724189e-07 -4.908197e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.935294e-20 5.034839e-21 -1.106890e-14) (3.927426e-21 -5.906962e-21 7.689198e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((2.037070e-01 1.873500e-06 -5.804760e-22) (2.017597e-01 7.360276e-07 -4.682909e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.779096e-20 4.789671e-21 -1.361643e-14) (3.722409e-21 -5.584681e-21 6.867009e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((1.941530e-01 1.807438e-06 -8.844862e-22) (1.924209e-01 6.359484e-07 -4.499822e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.648067e-20 4.584503e-21 -1.552741e-14) (3.548205e-21 -5.312803e-21 6.259788e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((1.860193e-01 1.384396e-06 -1.132680e-21) (1.844042e-01 5.544971e-07 -4.348036e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.536522e-20 4.409931e-21 -1.723360e-14) (3.398562e-21 -5.079486e-21 5.799156e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((1.790023e-01 1.172967e-06 -1.339023e-21) (1.774200e-01 4.862731e-07 -4.220015e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.440302e-20 4.259317e-21 -1.810654e-14) (3.268598e-21 -4.876427e-21 5.440781e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((1.728765e-01 1.401564e-06 -1.513633e-21) (1.712602e-01 4.380675e-07 -4.110387e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.356271e-20 4.127812e-21 -1.885303e-14) (3.154501e-21 -4.697604e-21 5.154247e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((1.674706e-01 1.475879e-06 -1.664004e-21) (1.657713e-01 4.023060e-07 -4.015390e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.282057e-20 4.011542e-21 -1.958373e-14) (3.053470e-21 -4.538372e-21 4.920194e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
