# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	3.207655e-05	3.449268e+02	-1.866092e-02	-9.298383e-03	-9.362536e-03
0.01          	1.757930e-05	1.867238e+01	1.396494e-02	7.000048e-03	6.964890e-03
0.015         	1.074680e-05	1.836863e+01	2.354188e-03	1.187841e-03	1.166347e-03
0.02          	7.139336e-06	1.521691e+01	1.061418e-03	5.378485e-04	5.235698e-04
0.025         	4.938120e-06	1.321181e+01	4.510624e-04	2.304693e-04	2.205931e-04
0.03          	3.553839e-06	1.173795e+01	2.180196e-04	1.125636e-04	1.054560e-04
0.035         	2.659955e-06	1.063016e+01	1.281723e-04	6.674612e-05	6.142620e-05
0.04          	2.094324e-06	9.776707e+00	9.298642e-05	4.858753e-05	4.439888e-05
0.045         	1.766691e-06	9.102967e+00	6.988905e-05	3.671122e-05	3.317784e-05
0.05          	1.537839e-06	8.558616e+00	6.144175e-05	3.225872e-05	2.918304e-05
0.055         	1.373402e-06	8.109334e+00	5.219056e-05	2.746868e-05	2.472188e-05
0.06          	1.251957e-06	7.731477e+00	4.886772e-05	2.568582e-05	2.318190e-05
0.065         	1.159831e-06	7.408470e+00	3.877787e-05	2.054877e-05	1.822911e-05
0.07          	1.088156e-06	7.128446e+00	3.318481e-05	1.768056e-05	1.550425e-05
0.075         	1.030849e-06	6.882734e+00	3.679263e-05	1.942716e-05	1.736546e-05
0.08          	9.840384e-07	6.664838e+00	3.756371e-05	1.976589e-05	1.779781e-05
0.085         	9.452491e-07	6.469902e+00	3.180231e-05	1.684640e-05	1.495591e-05
0.09          	9.126390e-07	6.294140e+00	2.859699e-05	1.521113e-05	1.338585e-05
0.095         	8.847314e-07	6.134626e+00	2.669027e-05	1.422987e-05	1.246040e-05
0.1           	8.605519e-07	5.989025e+00	2.957788e-05	1.564949e-05	1.392839e-05
0.105         	8.393942e-07	5.855376e+00	2.886319e-05	1.527099e-05	1.359220e-05
0.11          	8.208232e-07	5.732163e+00	2.840306e-05	1.502235e-05	1.338071e-05
0.115         	8.043973e-07	5.618097e+00	2.611807e-05	1.386343e-05	1.225464e-05
0.12          	7.897546e-07	5.512130e+00	2.320068e-05	1.239010e-05	1.081059e-05
0.125         	7.766620e-07	5.413402e+00	2.329302e-05	1.242317e-05	1.086985e-05
0.13          	7.648684e-07	5.321104e+00	2.347547e-05	1.250260e-05	1.097287e-05
0.135         	7.542119e-07	5.234559e+00	2.446526e-05	1.298684e-05	1.147842e-05
0.14          	7.446065e-07	5.153228e+00	2.121238e-05	1.135080e-05	9.861585e-06
0.145         	7.359039e-07	5.076636e+00	2.108135e-05	1.127658e-05	9.804770e-06
0.15          	7.279816e-07	5.004332e+00	2.319054e-05	1.232325e-05	1.086729e-05
0.155         	7.703025e-07	4.935985e+00	2.121704e-05	1.137882e-05	9.838219e-06
0.16          	8.015558e-07	4.871243e+00	1.873543e-05	1.016927e-05	8.566157e-06
0.165         	8.249071e-07	4.809817e+00	1.948075e-05	1.056528e-05	8.915467e-06
0.17          	8.425447e-07	4.751420e+00	1.752616e-05	9.605625e-06	7.920536e-06
0.175         	8.559191e-07	4.695838e+00	1.841908e-05	1.006546e-05	8.353622e-06
0.18          	8.786217e-07	4.642866e+00	1.774976e-05	9.753501e-06	7.996258e-06
0.185         	8.967390e-07	4.592318e+00	1.577251e-05	8.782997e-06	6.989518e-06
0.19          	9.112447e-07	4.544025e+00	1.682171e-05	9.322101e-06	7.499612e-06
0.195         	9.229322e-07	4.497836e+00	1.670075e-05	9.273308e-06	7.427444e-06
0.2           	9.324105e-07	4.453619e+00	1.500978e-05	8.437302e-06	6.572481e-06
0.205         	9.401005e-07	4.411251e+00	1.592898e-05	8.904592e-06	7.024391e-06
0.21          	9.463384e-07	4.370573e+00	1.466196e-05	8.277319e-06	6.384642e-06
0.215         	9.514170e-07	4.331510e+00	1.250285e-05	7.202843e-06	5.300009e-06
0.22          	9.554987e-07	4.293968e+00	1.307159e-05	7.491293e-06	5.580296e-06
0.225         	9.588577e-07	4.257864e+00	1.255664e-05	7.237175e-06	5.319460e-06
0.23          	9.615405e-07	4.223089e+00	1.571453e-05	8.818804e-06	6.895723e-06
0.235         	9.637714e-07	4.189594e+00	1.073830e-05	6.332923e-06	4.405380e-06
0.24          	9.656365e-07	4.157305e+00	1.307878e-05	7.505025e-06	5.573752e-06
0.245         	9.671633e-07	4.126151e+00	1.054331e-05	6.238821e-06	4.304494e-06
0.25          	9.684633e-07	4.096067e+00	1.214983e-05	7.043378e-06	5.106451e-06
0.255         	9.696179e-07	4.067037e+00	8.979590e-06	5.459413e-06	3.520177e-06
0.26          	9.706796e-07	4.038949e+00	8.754627e-06	5.347993e-06	3.406634e-06
0.265         	9.716421e-07	4.011786e+00	1.062897e-05	6.286126e-06	4.342842e-06
0.27          	9.725774e-07	3.985494e+00	8.448819e-06	5.196987e-06	3.251832e-06
0.275         	9.735381e-07	3.960040e+00	7.872079e-06	4.909578e-06	2.962502e-06
0.28          	9.744910e-07	3.935381e+00	7.190998e-06	4.569990e-06	2.621008e-06
0.285         	9.755451e-07	3.911483e+00	8.600913e-06	5.276001e-06	3.324911e-06
0.29          	9.766804e-07	3.888306e+00	8.714156e-06	5.333758e-06	3.380398e-06
0.295         	9.779771e-07	3.865829e+00	5.566427e-06	3.761190e-06	1.805236e-06
0.3           	9.794210e-07	3.844012e+00	6.627804e-06	4.293323e-06	2.334481e-06
0.305         	9.810354e-07	3.822828e+00	3.403199e-06	2.682635e-06	7.205643e-07
0.31          	9.827553e-07	3.802244e+00	8.743253e-06	5.354382e-06	3.388871e-06
0.315         	9.846765e-07	3.782246e+00	5.895305e-06	3.932329e-06	1.962976e-06
0.32          	9.868369e-07	3.762809e+00	5.233843e-06	3.603758e-06	1.630084e-06
0.325         	9.891958e-07	3.743900e+00	5.820057e-06	3.899224e-06	1.920833e-06
0.33          	9.917520e-07	3.725501e+00	4.713955e-06	3.348729e-06	1.365225e-06
0.335         	9.945547e-07	3.707598e+00	4.133054e-06	3.061082e-06	1.071972e-06
0.34          	9.975921e-07	3.690143e+00	3.718071e-06	2.856628e-06	8.614436e-07
0.345         	1.000874e-06	3.673161e+00	3.207596e-06	2.604672e-06	6.029234e-07
0.35          	1.004400e-06	3.656621e+00	3.671967e-06	2.840383e-06	8.315840e-07
0.355         	1.008173e-06	3.640494e+00	3.830286e-06	2.923316e-06	9.069701e-07
0.36          	1.012221e-06	3.624777e+00	3.109347e-06	2.566894e-06	5.424527e-07
0.365         	1.016553e-06	3.609450e+00	2.291186e-06	2.162146e-06	1.290403e-07
0.37          	1.021164e-06	3.594498e+00	2.439055e-06	2.240692e-06	1.983635e-07
0.375         	1.026042e-06	3.579886e+00	2.279801e-06	2.165942e-06	1.138584e-07
0.38          	1.031202e-06	3.565672e+00	1.312705e-06	1.687555e-06	-3.748497e-07
0.385         	1.036664e-06	3.551779e+00	1.581104e-06	1.827216e-06	-2.461123e-07
0.39          	1.042453e-06	3.538201e+00	-1.140027e-06	4.724391e-07	-1.612467e-06
0.395         	1.048491e-06	3.524954e+00	3.499202e-06	2.798092e-06	7.011099e-07
0.4           	1.054853e-06	3.512004e+00	7.394421e-07	1.424574e-06	-6.851317e-07
0.405         	1.061541e-06	3.499328e+00	3.171847e-06	2.647465e-06	5.243819e-07
0.41          	1.068569e-06	3.486980e+00	6.213169e-07	1.379227e-06	-7.579103e-07
0.415         	1.075953e-06	3.474878e+00	-7.024276e-08	1.040831e-06	-1.111074e-06
0.42          	1.083654e-06	3.463045e+00	-1.017789e-07	1.032764e-06	-1.134543e-06
0.425         	1.091674e-06	3.451472e+00	-1.797195e-07	1.001814e-06	-1.181533e-06
0.43          	1.100022e-06	3.440149e+00	-2.683733e-07	9.658357e-07	-1.234209e-06
0.435         	1.108703e-06	3.429070e+00	-2.038790e-07	1.006764e-06	-1.210643e-06
0.44          	1.117722e-06	3.418226e+00	-3.392395e-07	9.481025e-07	-1.287342e-06
0.445         	1.127084e-06	3.407610e+00	-2.714199e-07	9.913736e-07	-1.262793e-06
0.45          	1.136791e-06	3.397216e+00	-4.682511e-07	9.026655e-07	-1.370917e-06
0.455         	1.146847e-06	3.387038e+00	-2.484965e-07	1.022599e-06	-1.271095e-06
0.46          	1.157256e-06	3.377072e+00	-6.077217e-07	8.533956e-07	-1.461117e-06
0.465         	1.195238e-06	3.367293e+00	-1.065497e-06	6.624898e-07	-1.727986e-06
0.47          	1.229396e-06	3.357713e+00	-1.133439e-06	6.626763e-07	-1.796116e-06
0.475         	1.260653e-06	3.348296e+00	-1.391521e-06	5.648927e-07	-1.956413e-06
0.48          	1.289652e-06	3.339100e+00	-9.694680e-07	8.049184e-07	-1.774386e-06
0.485         	1.316865e-06	3.330082e+00	-1.071103e-06	7.813136e-07	-1.852417e-06
0.49          	1.342653e-06	3.321236e+00	-1.080049e-06	8.026284e-07	-1.882677e-06
0.495         	1.367286e-06	3.312558e+00	-1.200593e-06	7.669895e-07	-1.967583e-06
0.5           	1.390986e-06	3.304031e+00	-2.185131e-06	2.984207e-07	-2.483552e-06
0.505         	1.413907e-06	3.295708e+00	5.775160e-07	1.702665e-06	-1.125149e-06
0.51          	1.436196e-06	3.287516e+00	-1.432464e-06	7.199640e-07	-2.152428e-06
0.515         	1.458005e-06	3.279463e+00	-9.560489e-07	9.799810e-07	-1.936030e-06
0.52          	1.479416e-06	3.271587e+00	-1.061857e-06	9.484879e-07	-2.010345e-06
0.525         	1.500520e-06	3.263835e+00	-9.608339e-07	1.020103e-06	-1.980937e-06
0.53          	1.521389e-06	3.256218e+00	-1.284416e-06	8.791816e-07	-2.163597e-06
0.535         	1.542097e-06	3.248761e+00	-9.830340e-07	1.050579e-06	-2.033614e-06
0.54          	1.562718e-06	3.241419e+00	-9.300952e-07	1.097671e-06	-2.027766e-06
0.545         	1.583245e-06	3.234205e+00	-7.641460e-07	1.201172e-06	-1.965318e-06
0.55          	1.603743e-06	3.227122e+00	-5.092667e-08	1.578280e-06	-1.629206e-06
0.555         	1.624256e-06	3.220169e+00	-4.424924e-07	1.403009e-06	-1.845502e-06
0.56          	1.644820e-06	3.213323e+00	4.078757e-07	1.848758e-06	-1.440882e-06
0.565         	1.665464e-06	3.206602e+00	8.808041e-07	2.105866e-06	-1.225062e-06
0.57          	1.686251e-06	3.199991e+00	-3.449054e-06	-3.827617e-08	-3.410777e-06
0.575         	1.707163e-06	3.193487e+00	8.716406e-07	2.142983e-06	-1.271342e-06
0.58          	1.728184e-06	3.187101e+00	5.424477e-07	1.999408e-06	-1.456960e-06
0.585         	1.749402e-06	3.180822e+00	3.589428e-07	1.928873e-06	-1.569930e-06
